2023-04-16 15:03:48.873640+01:00 Script Start 
2023-04-16 15:03:53.133796+01:00 Lights Triggered 
2023-04-16 15:03:57.469795+01:00 Lights Triggered 
2023-04-16 15:04:03.326145+01:00 Lights Triggered 
2023-04-16 15:04:05.006153+01:00 Lights Triggered 
2023-04-16 15:04:05.182176+01:00 Lights Triggered 
2023-04-16 15:04:05.357829+01:00 Lights Triggered 
2023-04-16 15:04:05.509793+01:00 Lights Triggered 
2023-04-16 15:04:05.686169+01:00 Lights Triggered 
2023-04-16 15:04:05.837791+01:00 Lights Triggered 
2023-04-16 15:04:06.013897+01:00 Lights Triggered 
2023-04-16 15:04:06.170166+01:00 Lights Triggered 
2023-04-16 15:04:11.901255+01:00 Lights Triggered 
